label,src_dir,row,col,num_points,mask,HH_0_0,HV_0_0,IA_0_0,FYI,MYI
3.318,./data/SAR/20180429_235956_canny.tif,371,4048,1,3,0.3333333333333333,0.1215686274509803,0.1297565983790977,0.24839827418327332,0.7516018152236938
3.946,./data/SAR/20180429_235956_canny.tif,372,4049,1,3,0.5019607843137255,0.1294117647058823,0.1297686558143765,0.18734274804592133,0.8126572370529175
4.602,./data/SAR/20180429_235956_canny.tif,373,4050,1,3,0.4274509803921568,0.0980392156862745,0.1297806982900582,0.10265824943780899,0.8973417282104492
6.691,./data/SAR/20180429_235956_canny.tif,374,4050,1,3,0.396078431372549,0.1098039215686274,0.1297806982900582,0.0783071368932724,0.9216929078102112
5.445,./data/SAR/20180429_235956_canny.tif,375,4051,1,3,0.3372549019607843,0.1372549019607843,0.129792755725337,0.05353086069226265,0.9464691281318665
3.517,./data/SAR/20180429_235956_canny.tif,376,4052,1,3,0.3254901960784314,0.1490196078431372,0.1298047982010187,0.0692497119307518,0.9307503700256348
4.481,./data/SAR/20180429_235956_canny.tif,378,4052,1,3,0.5686274509803921,0.0901960784313725,0.1298047982010187,0.10585393011569977,0.8941460251808167
5.535,./data/SAR/20180429_235956_canny.tif,379,4053,1,3,0.3254901960784314,0.1450980392156863,0.1298168556362975,0.050225868821144104,0.9497740864753723
3.085,./data/SAR/20180429_235956_canny.tif,380,4054,1,3,0.3686274509803922,0.1686274509803921,0.1298288981119791,0.13061144948005676,0.8693885207176208
3.196,./data/SAR/20180429_235956_canny.tif,381,4055,1,3,0.2039215686274509,0.1411764705882353,0.1298409555472579,0.05306493863463402,0.9469350576400757
3.449,./data/SAR/20180429_235956_canny.tif,382,4055,1,3,0.4509803921568627,0.1176470588235294,0.1298409555472579,0.036647383123636246,0.9633526802062988
3.416,./data/SAR/20180429_235956_canny.tif,384,4056,1,3,0.4549019607843137,0.1019607843137254,0.1298529980229396,0.020927758887410164,0.9790722727775574
3.894,./data/SAR/20180429_235956_canny.tif,385,4057,1,3,0.4509803921568627,0.1372549019607843,0.1298650554582184,0.028855694457888603,0.9711443781852722
3.0,./data/SAR/20180429_235956_canny.tif,386,4057,1,3,0.4392156862745098,0.1333333333333333,0.1298650554582184,0.02314450405538082,0.9768555164337158
2.262,./data/SAR/20180429_235956_canny.tif,387,4058,1,3,0.5647058823529412,0.1490196078431372,0.1298770979339001,0.022694509476423264,0.97730553150177
2.769,./data/SAR/20180429_235956_canny.tif,388,4059,1,3,0.6549019607843137,0.1411764705882353,0.1298891553691789,0.017592165619134903,0.9824078679084778
5.422,./data/SAR/20180429_235956_canny.tif,389,4059,1,3,0.6352941176470588,0.1568627450980392,0.1298891553691789,0.016386063769459724,0.9836139678955078
5.659,./data/SAR/20180429_235956_canny.tif,391,4060,1,3,0.3490196078431372,0.1254901960784313,0.1299011978448606,0.026198355481028557,0.9738016724586487
6.462,./data/SAR/20180429_235956_canny.tif,392,4061,1,3,0.5450980392156862,0.1686274509803921,0.1299132403205422,0.0443703718483448,0.9556296467781067
6.182,./data/SAR/20180429_235956_canny.tif,393,4061,1,3,0.4666666666666667,0.1215686274509803,0.1299132403205422,0.07135285437107086,0.9286471605300903
4.336,./data/SAR/20180429_235956_canny.tif,394,4062,1,3,0.4392156862745098,0.1647058823529411,0.129925297755821,0.06622495502233505,0.933775007724762
3.377,./data/SAR/20180429_235956_canny.tif,396,4063,1,0,0.4196078431372549,0.1450980392156863,0.1299373402315027,0.03327403590083122,0.9667260050773621
4.796,./data/SAR/20180429_235956_canny.tif,397,4063,1,0,0.4509803921568627,0.1686274509803921,0.1299373402315027,0.030770881101489067,0.9692291021347046
3.359,./data/SAR/20180429_235956_canny.tif,398,4064,1,3,0.4274509803921568,0.2117647058823529,0.1299493976667815,0.04787342995405197,0.9521265029907227
3.034,./data/SAR/20180429_235956_canny.tif,399,4065,1,3,0.3607843137254902,0.1803921568627451,0.1299614401424632,0.06000492349267006,0.9399950504302979
3.314,./data/SAR/20180429_235956_canny.tif,400,4065,1,3,0.4980392156862745,0.0784313725490196,0.1299614401424632,0.044984009116888046,0.9550159573554993
3.357,./data/SAR/20180429_235956_canny.tif,402,4066,1,0,0.4941176470588235,0.1490196078431372,0.129973497577742,0.08925385773181915,0.9107462167739868
4.33,./data/SAR/20180429_235956_canny.tif,403,4067,1,3,0.3803921568627451,0.2,0.1299855400534237,0.03992457687854767,0.9600753784179688
3.479,./data/SAR/20180429_235956_canny.tif,404,4067,1,0,0.4117647058823529,0.2313725490196078,0.1299855400534237,0.017718937247991562,0.9822810888290405
4.32,./data/SAR/20180429_235956_canny.tif,405,4068,1,3,0.4078431372549019,0.1568627450980392,0.1299975974887025,0.010777843184769154,0.9892221689224243
4.824,./data/SAR/20180429_235956_canny.tif,406,4069,1,3,0.5372549019607843,0.1725490196078431,0.1300096399643842,0.016652759164571762,0.9833472371101379
